transaction_id,invoice_id,amount_score,amount_difference_percent,vendor_similarity,date_score,date_difference_days,reference_match,confidence,second_best_score,confidence_margin,actual_invoice_id,actual_status,label,xgb_probability,rank,second_probability,model_margin,decision,decision_reason
TXN-6006,INV-0195,100.0,0.0,38.297872340425535,25,15,1,73.98936170212767,66.57000323009008,7.419358472037587,INV-0195,MATCH,1,0.999884,1,6.449268e-05,0.9998195,MATCH,High-confidence XGBoost match passed safety checks
TXN-6008,INV-0488,100.0,0.0,83.33333333333333,50,10,0,88.23529411764707,83.53417480352464,4.701119314122437,INV-0488,MATCH,1,0.99978346,1,0.0009804202,0.998803,MATCH,High-confidence XGBoost match passed safety checks
TXN-6010,INV-0241,100.0,0.0,38.297872340425535,30,14,1,74.48936170212767,66.55162749963509,7.937734202492578,INV-0241,MATCH,1,0.99985266,1,1.0898307e-05,0.99984175,MATCH,High-confidence XGBoost match passed safety checks
TXN-6012,INV-0224,100.0,0.0,59.64912280701754,70,6,0,82.22910216718266,73.98576838720143,8.243333779981228,INV-0224,MATCH,1,0.9997385,1,0.00069747184,0.999041,MATCH,High-confidence XGBoost match passed safety checks
TXN-6016,INV-0184,100.0,0.0,100.0,45,11,0,93.5294117647059,87.81006378454997,5.719347980155931,INV-0184,MATCH,1,0.9996952,1,0.0007541365,0.99894106,MATCH,High-confidence XGBoost match passed safety checks
TXN-6017,INV-0198,100.0,0.0,41.37931034482759,5,19,1,72.91379310344828,61.30911292121109,11.604680182237196,INV-0198,MATCH,1,0.9975375,1,3.7247135e-06,0.9975338,MATCH,High-confidence XGBoost match passed safety checks
TXN-6018,INV-0380,100.0,0.0,71.7948717948718,40,12,0,82.98642533936652,78.2330365466635,4.753388792703021,INV-0380,MATCH,1,0.9999348,1,0.022659445,0.9772754,MATCH,High-confidence XGBoost match passed safety checks
TXN-6023,INV-0419,100.0,0.0,100.0,50,10,0,94.11764705882354,87.47641035936559,6.641236699457949,INV-0419,MATCH,1,0.9996834,1,0.0016321026,0.9980513,MATCH,High-confidence XGBoost match passed safety checks
TXN-6024,INV-0353,100.0,0.0,76.92307692307692,60,8,0,87.14932126696833,79.70272920186152,7.446592065106813,INV-0353,MATCH,1,0.999801,1,0.0002577355,0.99954325,MATCH,High-confidence XGBoost match passed safety checks
TXN-6025,INV-0335,100.0,0.0,68.08510638297872,20,16,0,79.3241551939925,77.89292272803836,1.4312324659541389,INV-0335,MATCH,1,0.99991035,1,0.0019547998,0.99795556,MATCH,High-confidence XGBoost match passed safety checks
TXN-6026,INV-0102,100.0,0.0,54.166666666666664,0,20,0,72.05882352941177,71.54684346683642,0.511980062575347,INV-0102,MATCH,1,0.9969258,1,0.00015252367,0.99677324,MATCH,High-confidence XGBoost match passed safety checks
TXN-6027,INV-0021,100.0,0.0,100.0,10,18,0,89.41176470588236,87.12062911836853,2.2911355875138355,INV-0021,MATCH,1,0.999813,1,0.00031639286,0.99949664,MATCH,High-confidence XGBoost match passed safety checks
TXN-6030,INV-0396,100.0,0.0,100.0,15,17,0,90.00000000000001,90.00000000000001,0.039844122020184614,INV-0396,MATCH,1,0.9965894,1,0.000736366,0.99585307,MATCH,High-confidence XGBoost match passed safety checks
TXN-6034,INV-0125,100.0,0.0,71.7948717948718,10,18,0,79.45701357466064,77.91892292856613,1.5380906460945027,INV-0125,MATCH,1,0.99975425,1,0.00010240526,0.99965185,MATCH,High-confidence XGBoost match passed safety checks
